2634;0;147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;218
1100;3;182;0;5;52;62;300;0;28;0;0;0;0;32;58;0;13;2;0;20;17;1126
1181;11;193;0;17;45;53;239;0;16;0;0;0;0;39;49;0;5;1;0;10;21;1120
0;0;0;4;13;424;431;1098;76;0;0;0;0;0;0;484;10;431;0;12;0;10;7
0;0;0;42;58;656;311;1364;102;0;0;0;0;32;0;140;23;120;10;6;0;63;73
0;0;0;4;1;821;42;1880;12;4;0;1;0;1;0;20;2;154;3;0;0;0;55
0;0;0;117;39;87;1357;512;144;29;7;11;0;26;9;349;26;121;7;63;0;9;87
0;0;0;53;27;310;724;862;88;47;1;5;1;30;2;184;38;263;16;17;0;106;226
0;0;0;11;0;386;460;1406;34;5;0;0;0;7;0;95;0;581;0;9;0;0;6
0;0;0;10;0;348;502;1255;32;14;0;0;0;23;0;194;0;589;0;10;0;4;19
0;0;0;0;0;940;5;1961;0;3;0;0;0;0;0;34;0;57;0;0;0;0;0
0;0;0;0;0;173;492;1400;0;0;0;0;0;0;0;108;0;827;0;0;0;0;0
0;0;0;3;0;464;161;1720;10;70;0;0;0;4;0;60;0;464;0;3;0;1;40
0;0;0;1;0;702;66;1818;38;3;0;0;0;3;0;18;0;293;0;2;0;0;56
0;0;0;14;0;122;690;1190;21;3;1;1;0;0;6;212;3;689;2;21;0;1;24
0;0;0;5;0;128;576;1045;26;4;0;2;0;2;7;468;0;725;3;8;0;0;1
0;0;0;20;2;213;544;1213;26;5;0;0;0;5;0;157;11;678;13;20;0;28;65
0;0;0;7;1;745;116;1825;8;2;0;1;0;0;1;40;1;224;5;3;0;9;12
0;0;5;49;17;261;750;839;53;9;0;8;0;17;12;225;10;415;78;24;0;97;131
0;0;0;5;1;503;200;1707;3;27;0;0;0;6;0;46;0;420;20;7;0;10;45
666;29;69;0;2;37;13;1475;0;5;0;0;0;0;262;15;0;15;0;0;65;4;343
55;0;34;21;50;337;405;1081;25;51;0;3;0;16;8;130;13;220;13;5;53;110;370
59;0;27;19;14;478;344;1263;47;41;2;2;0;14;3;131;18;216;4;10;5;44;259
